Affinity,0.5,0.4,0.4,0.3,0.4,0.4,0.6,0.4,0.5
Bogles,0.6,0.5,0.5,0.2,0.6,0.6,0.6,0.4,0.5
Burn,0.6,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.6
Counters CoCo,0.7,0.8,0.6,0.5,0.6,0.4,0.7,0.5,0.6
Gx Tron,0.6,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.3
Grixis Tron,0.6,0.4,0.5,0.6,0.5,0.5,0.5,0.4,0.6
Hollow One,0.4,0.4,0.5,0.3,0.5,0.6,0.5,0.5,0.5
Humans,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.5,0.6
Infect,0.5,0.5,0.4,0.4,0.7,0.4,0.5,0.4,0.5
